iter	Passed	Remaining
0	678	338579
1	923	229922
2	1093	181174
3	1332	165171
4	1500	148595
5	1761	145032
6	1911	134590
7	2057	126520
8	2189	119426
9	2340	114672
10	2504	111346
11	2671	108656
12	2834	106193
13	2993	103925
14	3187	103060
15	3326	100640
16	3450	98022
17	3597	96333
18	3730	94433
19	3860	92642
20	3988	90977
21	4151	90193
22	4299	89167
23	4445	88167
24	4575	86936
25	4710	85868
26	4842	84834
27	4968	83750
28	5088	82640
29	5232	81979
30	5396	81648
31	5555	81248
32	5715	80884
33	5884	80647
34	6032	80148
35	6185	79725
36	6319	79076
37	6458	78523
38	6592	77923
39	6777	77938
40	7012	78503
41	7246	79024
42	7385	78487
43	7523	77970
44	7654	77391
45	7802	77003
46	7950	76631
47	8120	76465
48	8291	76316
49	8439	75956
50	8631	75991
51	8792	75751
52	8946	75455
53	9108	75227
54	9282	75104
55	9450	74929
56	9630	74851
57	9892	75385
58	10138	75783
59	10398	76255
60	10636	76544
61	10905	77042
62	11137	77254
63	11349	77318
64	11533	77188
65	11789	77526
66	11997	77538
67	12189	77436
68	12594	78672
69	12793	78587
70	13014	78635
71	13213	78545
72	13419	78492
73	13617	78391
74	13811	78263
75	13991	78059
76	14179	77897
77	14383	77818
78	14568	77634
79	14761	77498
80	14995	77568
81	15213	77549
82	15416	77455
83	15621	77365
84	15812	77204
85	16019	77116
86	16224	77020
87	16409	76827
88	16605	76683
89	16806	76561
90	17020	76497
91	17239	76454
92	17439	76319
93	17654	76253
94	18058	76985
95	18280	76928
96	18459	76691
97	18671	76592
98	18862	76400
99	19096	76385
100	19355	76465
101	19576	76385
102	19821	76398
103	20056	76370
104	20324	76460
105	20581	76501
106	20842	76553
107	21092	76558
108	21341	76554
109	21651	76765
110	21933	76865
111	22202	76916
112	22610	77434
113	23031	77984
114	23232	77777
115	23488	77755
116	23888	78197
117	24134	78130
118	24341	77933
119	24531	77683
120	24738	77486
121	24931	77247
122	25126	77012
123	25320	76778
124	25511	76534
125	25716	76334
126	25918	76122
127	26132	75947
128	26334	75736
129	26535	75523
130	26741	75326
131	26950	75135
132	27170	74973
133	27377	74778
134	27579	74565
135	27771	74329
136	27974	74121
137	28156	73859
138	28324	73562
139	28512	73317
140	28693	73056
141	28874	72797
142	29293	73130
143	29482	72886
144	29683	72673
145	29878	72444
146	30078	72228
147	30292	72046
148	30489	71825
149	30708	71652
150	30966	71571
151	31244	71533
152	31496	71432
153	31757	71352
154	31997	71219
155	32262	71143
156	32512	71030
157	32784	70963
158	33248	71307
159	33501	71189
160	33779	71126
161	34005	70949
162	34308	70931
163	34765	71227
164	35100	71264
165	35361	71148
166	35572	70931
167	35826	70799
168	36087	70680
169	36357	70577
170	36597	70413
171	36857	70287
172	37162	70243
173	37406	70083
174	37676	69970
175	37888	69749
176	38168	69651
177	38423	69508
178	38916	69789
179	39524	70265
180	41675	73450
181	42250	73822
182	42764	74078
183	43368	74481
184	43917	74778
185	44258	74715
186	44623	74690
187	44893	74503
188	45158	74308
189	45402	74077
190	45617	73800
191	45853	73557
192	46112	73350
193	46374	73146
194	46630	72934
